,ID,Q1A1,Q1A2,Q2A11,Q2A12,Q2A2,Q2A3,Q3,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q4A6,Q4A7,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q6A1,Q6A2,Q6A3,Q6A4,Q7,Q7A1,Q7A2,Q7A3,Q8A1,Q8A2,Q8A3,Q8A4,Q8B1,Q8B2,Q8B3,Q8B4,Q9A1,Q9A2,Q9A3,Q9A4,Q9A5,Q9B1,Q9B2,Q9B3,Q9B4,Q9B5,Q11A1,Q11A2,Q11B1,Q11B2,Q12A1,Q12A2,Q12B1,Q12B2,Q13A1,Q13A2,Q13A3,Q13A4,Q13B1,Q13B2,Q13B3,Q13B4,Q14A1,Q14A2,Q14A3,Q14A4,Q14B1,Q14B2,Q14B3,Q14B4,Q15,Q15A1,Q15A2,Q15B1,Q15B2,Q15C,Q16A1,Q16A2,Q16A3,Q16A4,Q16A5,Q16A6,Q17A01,Q17A02,Q17A03,Q18A1,Q18A2,Q18A3,Q18A4,Q18A5,Q19A1,Q19A2,Q19A3,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q20A6,Q20A7,Q21A1,Q21A2,Q21A3,Q21A4,Q21A5,Q21A6,Q21A7,Q21A8,Q22A1,Q22A2,Q22A3,Q22A4,Q22A5,Q31A1,Q31A2,Q31A3,Q31A4,Q31A5,Q32A01,Q32A02,Q32A03,Q32A04,Q32A05,Q32A06,Q32A07,Q32A08,Q32A09,Q32A10,Q32A11,Q32A12,Q32A13,Q32A14,Q32A15,Q32A16,Q32A17,Q32A18,Q32A19,Q32A20,Q32A21,Q32A22,ADQ1,ADQ2,ADQ3,ADQ3A,ADQ4,ADQ5,ADQ6,ADQ7,ADQ8,ADQ8A1,ADQ8A2,ADQ8A3,ADQ8A4,ADQ8A5,ADQ8A6,ADQ8A7,ADQ8A8,ADQ9,ADQ101,ADQ102,ADQ103,WT,³âµµ
3342,13808,2,2,2,,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,,,,3,3,2,2,1,1,1,1,1,2,1,,,,,,,,3,3,4,3,3,3,3,3,2,2,3,2,2,1,2.0,,,,12,,,,,,,,,,,,,,,,,,,,,,65,1,9,,3,1,1,2,2,1.0,3.0,6.0,,,,,,10,9,1,1,1.025748521436453,2020
3343,13809,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,,,1.0,,,,,,,2,3,3,4,4,4,4,4,1,2,2,,,,,,,,3,3,3,3,4,2,3,3,2,3,3,3,3,1,2.0,,,,22,,,,,,,,,,,,,,,,,,,,,,73,1,9,,3,1,1,2,2,1.0,,,,,,,,6,9,1,1,0.994178773824596,2020
3344,13810,1,1,1,,2,2,1,4,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,1,22.0,30.0,,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,3.0,3.0,4.0,4.0,1.0,3,3,2,3,3,3,4,2,3,2,2,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3,2,2,2,3,3,3,3,1,1,2,2,2,1,2.0,3.0,,,22,,,,,,,,,,,,,,,,,,,,,,61,1,9,,4,1,1,1,2,1.0,,,,,,,,5,9,1,2,0.9989712894813584,2020
3345,13811,2,2,2,,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,3,2,2,2,2,3,3,1,2,3,3,2,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,73,1,5,1.0,3,1,1,1,2,1.0,3.0,,,,,,,10,9,1,2,0.994178773824596,2020
3346,13812,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,,,,2,2,1,2,1,1,1,1,1,1,1,,,,,,,,2,1,2,3,3,1,1,1,1,2,2,1,1,1,2.0,,,,22,,,,,,,,,,,,,,,,,,,,,,66,1,5,1.0,3,1,2,1,2,1.0,,,,,,,,5,9,1,2,1.025748521436453,2020
3347,13816,1,1,1,,2,2,1,3,4,4,3,3,2,2,4,4,4,3,3,2,2,4,4,3,3,1,5.0,30.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,4,4,3,4,3,4,4,3,4,4,3,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4,4,3,4,3,4,4,4,4,4,4,3,4,1,2.0,3.0,,,11,,,,,,,,,,,,,,,,,,,,,,62,1,7,,3,1,1,3,2,1.0,3.0,,,,,,,10,9,1,1,0.9989712894813584,2020
3348,13817,1,1,1,,2,2,1,3,4,3,4,4,3,3,3,3,4,3,4,3,4,3,4,4,3,1,15.0,30.0,,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,4.0,3.0,4.0,3.0,3.0,3.0,3,3,4,4,4,4,3,3,4,4,4,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4,4,4,3,3,4,3,3,4,4,3,3,3,1,2.0,3.0,,,6,7.0,,,,,,,,,,,,,,,,,,,,,66,1,7,,3,1,1,3,2,1.0,3.0,,,,,,,9,9,1,1,1.025748521436453,2020
3349,13818,1,1,1,,2,2,1,4,4,3,4,3,4,4,4,4,3,4,3,3,2,4,4,3,3,1,7.0,30.0,,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,4,4,4,4,4,3,4,3,4,4,3,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4,3,4,4,4,3,4,4,4,4,4,3,3,1,2.0,3.0,4.0,,22,,,,,,,,,,,,,,,,,,,,,,57,1,4,1.0,3,1,1,1,2,1.0,3.0,,,,,,,9,9,1,1,0.9955669060382849,2020
3350,13819,1,1,1,,2,2,1,4,3,4,3,3,3,3,3,3,4,3,4,3,3,4,4,3,4,1,5.0,30.0,,4.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,3.0,3.0,4.0,4.0,4.0,3.0,3,4,3,3,4,3,3,3,3,3,4,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3,4,4,3,4,3,3,3,3,4,3,3,3,1,2.0,3.0,,,19,,,,,,,,,,,,,,,,,,,,,,58,1,8,,3,1,1,1,2,1.0,3.0,,,,,,,10,9,1,1,0.9955669060382849,2020
3351,13820,1,2,1,,2,2,1,2,3,2,3,4,3,2,3,3,4,3,4,3,4,3,3,4,4,1,,25.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,,,,,,,3.0,2.0,1.0,2.0,2.0,1.0,3,3,4,4,3,3,4,3,3,2,2,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3,4,3,4,4,3,4,3,2,3,3,4,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,56,1,5,1.0,3,1,1,2,2,1.0,3.0,,,,,,,11,9,1,1,0.9955669060382849,2020
3352,13821,1,2,1,,2,2,1,2,1,2,2,1,2,1,3,2,2,3,4,3,3,2,1,3,3,1,,15.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,2.0,3.0,2.0,1.0,2.0,3.0,3,4,3,3,3,4,3,3,3,2,1,3.0,4.0,3.0,2.0,1.0,2.0,3.0,3,4,3,3,4,3,3,4,2,1,3,3,2,1,,,,,6,9.0,,,,,,,,,,,,,,,,,,,,,63,1,8,,3,1,1,2,2,1.0,3.0,,,,,,,9,9,1,1,0.9989712894813584,2020
3353,13822,2,2,2,,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,1.0,,,,,,,2,2,1,2,1,1,2,2,2,1,2,,,,,,,,2,2,1,2,1,2,3,2,2,1,2,1,2,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,73,1,9,,2,1,1,1,1,,,,,,,,,7,9,1,1,0.994178773824596,2020
3354,13823,2,2,2,,2,2,1,2,1,1,2,1,2,1,2,1,2,3,2,1,2,1,1,2,2,1,,5.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,3.0,2.0,1.0,2.0,3.0,4,3,3,3,2,3,2,3,1,1,1,3.0,4.0,4.0,1.0,2.0,1.0,3.0,3,3,2,3,4,3,3,2,2,1,3,3,2,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,75,1,14,,3,1,1,1,2,1.0,3.0,6.0,,,,,,11,9,1,1,0.994178773824596,2020
3355,13824,1,2,1,,2,2,1,3,3,2,3,4,3,2,3,3,4,3,4,3,3,3,4,3,4,1,,15.0,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,3.0,2.0,1.0,2.0,3.0,2.0,3,4,3,3,4,2,2,1,3,2,1,3.0,4.0,3.0,1.0,2.0,1.0,3.0,3,4,3,4,4,3,3,2,3,2,3,4,4,1,2.0,,,,22,,,,,,,,,,,,,,,,,,,,,,69,1,5,1.0,3,1,1,1,2,1.0,,,,,,,,11,9,1,1,1.025748521436453,2020
3356,13825,1,1,1,,2,2,1,3,2,2,3,4,3,3,3,4,3,4,3,3,4,3,4,4,3,1,25.0,28.0,,3.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,,,,,,,3.0,2.0,1.0,2.0,3.0,2.0,4,3,3,3,3,4,3,4,3,2,1,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3,4,4,3,4,3,4,2,3,2,3,4,4,1,2.0,3.0,,,22,,,,,,,,,,,,,,,,,,,,,,56,1,2,,4,1,1,1,2,1.0,,,,,,,,10,9,1,1,0.9955669060382849,2020
3357,13826,1,2,1,,2,2,1,2,3,2,1,2,2,1,3,2,2,3,4,3,3,2,1,3,4,1,,14.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,2.0,3.0,3.0,3.0,3.0,2,3,3,3,2,3,3,3,3,3,2,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3,2,3,3,2,2,3,3,3,2,2,3,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,64,1,5,1.0,3,1,1,1,2,1.0,,,,,,,,11,9,1,1,0.9989712894813584,2020
3358,13827,1,1,1,,2,2,1,3,4,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,4,1,15.0,25.0,,3.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,,,,,,,3.0,2.0,1.0,2.0,2.0,1.0,2,3,2,3,4,3,2,3,3,3,2,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3,4,4,3,4,3,4,3,3,3,4,3,2,1,2.0,3.0,4.0,,22,,,,,,,,,,,,,,,,,,,,,,58,1,1,,4,1,1,1,2,1.0,,,,,,,,7,9,1,1,0.9955669060382849,2020
3359,13828,1,2,1,,2,2,1,2,1,2,2,1,2,2,3,2,2,3,4,3,3,2,1,3,3,1,,10.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,1.0,3.0,2,3,4,3,3,4,3,4,3,2,2,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3,3,4,4,3,2,3,2,2,1,3,2,1,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,67,1,14,,3,1,1,1,2,1.0,3.0,,,,,,,10,9,1,1,1.025748521436453,2020
3360,13829,2,2,2,,2,2,1,2,2,1,2,2,1,1,2,2,1,3,2,2,1,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,5.0,2.0,,,,,,,3,2,3,2,2,1,2,1,2,2,1,,,,,,,,3,2,3,3,4,3,2,3,2,1,3,4,2,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,73,1,9,,3,1,1,1,2,1.0,,,,,,,,7,9,1,1,0.994178773824596,2020
3361,13830,1,1,1,,2,2,1,4,4,4,3,3,3,3,4,4,3,3,3,3,2,4,4,4,3,1,10.0,30.0,,3.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,4,4,4,4,4,3,4,3,4,4,3,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4,4,3,4,3,3,4,4,4,4,3,4,4,1,2.0,3.0,,,19,,,,,,,,,,,,,,,,,,,,,,58,1,8,,4,1,1,2,2,1.0,3.0,,,,,,,10,9,1,1,0.9955669060382849,2020
3362,13832,1,1,1,,2,2,1,4,3,4,3,3,3,3,4,4,3,3,3,2,2,4,4,4,4,1,7.0,30.0,,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,4,4,3,4,4,3,4,3,4,4,3,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4,4,3,4,3,4,4,4,4,4,3,3,3,1,2.0,3.0,,,19,,,,,,,,,,,,,,,,,,,,,,56,1,3,,4,1,1,2,2,1.0,3.0,,,,,,,10,9,1,1,0.9955669060382849,2020
3363,13834,1,2,1,,2,2,1,2,1,2,2,1,2,1,2,1,2,3,4,3,3,2,3,4,4,1,,15.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,,,,,,2.0,3.0,2.0,3.0,2.0,1.0,3,3,4,3,4,3,3,2,2,1,2,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3,3,4,4,3,3,4,2,2,1,3,4,2,1,,,,,6,7.0,8.0,,,,,,,,,,,,,,,,,,,,61,1,9,,3,1,1,2,2,1.0,3.0,,,,,,,10,9,1,1,0.9989712894813584,2020
3364,13835,1,2,1,,2,2,1,3,3,2,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,1,,14.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,,,,,,,2.0,3.0,2.0,1.0,3.0,2.0,3,2,3,3,4,3,2,2,3,2,1,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3,4,4,3,4,3,4,2,3,2,3,4,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,58,1,4,1.0,3,1,1,2,2,1.0,,,,,,,,11,9,1,1,0.9955669060382849,2020
3365,13836,1,2,2,,2,2,1,2,1,2,2,1,2,1,2,1,2,3,2,2,1,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,5.0,2.0,,,,,,,4,4,3,2,1,2,2,1,3,2,1,,,,,,,,3,4,4,3,4,3,4,2,3,2,3,4,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,75,1,14,,3,1,1,2,2,1.0,3.0,,,,,,,10,9,1,1,0.994178773824596,2020
3366,13838,1,2,1,,2,2,1,3,3,2,3,3,2,2,3,4,3,4,4,3,3,3,4,4,3,1,,25.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,,,,,,,2.0,1.0,2.0,2.0,3.0,4.0,2,3,2,3,3,4,4,3,3,2,2,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3,4,3,3,4,3,3,2,2,2,3,4,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,58,1,4,1.0,3,1,1,3,2,1.0,3.0,,,,,,,11,9,1,1,0.9955669060382849,2020
3367,13839,1,2,1,,2,2,1,3,3,4,3,3,4,3,4,4,3,3,4,3,3,3,3,4,4,1,,14.0,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,,,,,,,3.0,2.0,2.0,1.0,3.0,2.0,3,4,3,3,3,4,4,3,3,2,2,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3,4,3,2,3,2,3,4,2,1,3,3,4,1,2.0,3.0,,,22,,,,,,,,,,,,,,,,,,,,,,57,1,1,,4,1,1,1,2,1.0,,,,,,,,11,9,1,1,0.9955669060382849,2020
3368,13840,2,2,2,,2,2,1,2,2,1,1,2,2,1,2,2,1,3,2,1,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,2.0,,,,,,,2,2,3,2,1,1,2,1,2,2,1,,,,,,,,2,2,1,1,2,2,3,2,2,1,1,2,1,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,70,1,9,,3,1,1,1,1,,,,,,,,,6,9,1,1,0.994178773824596,2020
3369,13841,2,2,1,,2,2,1,2,1,1,2,2,1,2,2,1,2,3,2,1,3,2,1,3,3,1,,14.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,3.0,2.0,2.0,1.0,4.0,4,3,3,3,4,3,3,4,2,2,1,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3,3,4,4,3,3,4,3,3,2,3,4,2,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,72,1,6,,3,1,1,2,2,1.0,,,,,,,,10,9,1,1,0.994178773824596,2020
3370,13842,2,2,1,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,2,1,1,,30.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,4.0,3.0,3.0,3.0,4,4,3,2,1,3,3,3,3,3,2,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3,3,2,2,3,2,2,2,3,3,3,2,3,1,,,,,1,2.0,,,,,,,,,,,,,,,,,,,,,65,1,9,,2,2,1,3,2,1.0,,,,,,,,4,9,1,2,1.025748521436453,2020
3371,13843,2,2,1,,2,2,1,2,3,2,1,3,2,2,3,3,2,2,3,3,2,3,2,2,3,1,,30.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,4.0,3.0,3.0,4.0,4.0,3,3,4,3,2,3,3,2,3,4,3,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3,3,3,3,4,3,4,3,3,4,3,3,4,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,62,1,8,,3,1,1,3,2,1.0,3.0,,,,,,,11,9,1,2,0.9989712894813584,2020
3372,13844,2,2,1,,2,2,1,1,1,1,1,1,1,1,1,3,2,3,3,2,1,2,3,2,2,1,,30.0,,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,3.0,4.0,3.0,3.0,3.0,3,4,3,3,4,3,3,3,3,3,3,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3,4,3,3,4,3,4,3,3,3,4,3,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,61,1,8,,3,1,1,1,2,1.0,3.0,,,,,,,11,9,1,2,0.9989712894813584,2020
3373,13845,1,2,1,,2,2,1,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,3,3,1,23.0,30.0,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,,,,,,,4.0,3.0,3.0,4.0,3.0,3.0,3,4,3,3,4,4,3,3,4,4,3,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3,3,4,4,3,3,4,3,3,4,4,3,3,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,57,1,2,,4,1,1,2,2,1.0,3.0,4.0,,,,,,11,9,1,2,0.9955669060382849,2020
3374,13846,2,2,1,,2,2,1,1,1,1,1,1,1,1,1,3,1,3,4,1,1,2,2,3,3,1,,30.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,3.0,3.0,4.0,3.0,4.0,4,3,3,3,4,4,3,3,4,3,3,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2,3,3,3,4,2,3,3,3,4,3,3,4,1,,,,,22,,,,,,,,,,,,,,,,,,,,,,59,1,7,,3,1,1,2,2,1.0,3.0,,,,,,,11,9,1,2,0.9955669060382849,2020
